Projectile: p; target: 6Li; E = 4.8 MeV
https://doi.org/10.1016/0375-9474(89)90172-3
Angle       C/s
34.970      249.00      
41.100      195.00      
46.840      161.60      
52.160      131.40      
57.900      108.90      
63.650      93.660      
79.670      61.900      
85.040      58.470      
89.990      54.210      
95.370      52.180      
100.30      48.380      
105.30      48.340      
110.30      46.530      
114.80      46.500      
119.40      46.470      
124.40      47.310      
128.90      48.170      
133.50      49.050      
137.60      49.940      
142.20      50.850      
146.40      51.780      
151.00      54.730      
155.10      55.730      
159.70      57.820      
163.40      58.880      
168.00      61.080      
