Projectile: 8Li; target: 9Be; E = 15.4 MeV
http://dx.doi.org/10.1103/PhysRevC.106.054602
Angle       R/s
19.128      0.72468243  0.10302274  
21.111      0.63065891  0.15043276  
24.236      0.52197140  0.18606890  
27.332      0.32681612  0.17081928  
29.675      0.31353512  0.23107051  
31.640      0.38870349  0.33161431  
33.672      0.49447114  0.22352493  
35.787      0.62766931  0.26840685  
37.614      0.22089454  0.13564197  
39.553      0.57604097  0.50323020  
41.369      0.82143285  0.34373113  
43.210      0.56694583  0.46395092  
