Projectile: 10B; target: 14N; E = 100 MeV
https://doi.org/10.1103/PhysRevC.12.1575
Angle       C/s
17.1        120.        
19.2        107.        
20.6        38.         
22.4        18.         
24.2        27.         
25.8        29.         
27.7        13.4        
29.2        7.2         
31.0        6.1         
32.3        6.9         
35.4        3.4         
