Projectile: 10B; target: 11B; E = 36 MeV
https://doi.org/10.1016/0375-9474(91)90521-7
Angle       R/s
28.496      0.14977     0.86795e-02 
30.470      0.13720     0.72469e-02 
32.303      0.21641     0.11456e-01 
34.604      0.31118     0.13235e-01 
36.638      0.33734     0.17838e-01 
38.393      0.26688     0.14112e-01 
40.187      0.14671     0.85192e-02 
41.968      0.77639e-01 0.48955e-02 
43.825      0.81917e-01 0.34792e-02 
45.854      0.14017     0.88550e-02 
47.759      0.16941     0.89582e-02 
49.616      0.17875     0.75917e-02 
51.378      0.14374     0.83465e-02 
53.145      0.11748     0.74215e-02 
55.277      0.65278e-01 0.47809e-02 
56.988      0.73122e-01 0.64467e-02 
59.072      0.91297e-01 0.66865e-02 
60.882      0.13492     0.98967e-02 
62.747      0.14548     0.99286e-02 
64.556      0.13400     0.84495e-02 
66.525      0.12077     0.11851e-01 
68.505      0.11245     0.10476e-01 
70.779      0.93402e-01 0.91603e-02 
72.272      0.90356e-01 0.84176e-02 
74.331      0.10512     0.11848e-01 
75.791      0.92723e-01 0.13521e-01 
77.825      0.10052     0.14185e-01 
79.732      0.76137e-01 0.85772e-02 
81.774      0.84353e-01 0.98990e-02 
83.583      0.77698e-01 0.10239e-01 
85.135      0.88951e-01 0.14190e-01 
87.365      0.10461     0.17170e-01 
88.790      0.13425     0.15769e-01 
90.636      0.13710     0.16104e-01 
92.680      0.15272     0.16467e-01 
94.151      0.13917     0.15678e-01 
96.197      0.15587     0.20533e-01 
98.231      0.16898     0.23845e-01 
100.08      0.10757     0.19108e-01 
102.42      0.17336     0.25261e-01 
104.26      0.17609     0.28100e-01 
106.40      0.15869     0.26757e-01 
108.43      0.17204     0.27462e-01 
110.32      0.19693     0.30524e-01 
112.50      0.20000     0.29164e-01 
114.37      0.13963     0.28494e-01 
120.84      0.19298     0.29912e-01 
122.64      0.17489     0.33392e-01 
124.71      0.20681     0.34870e-01 
126.59      0.14439     0.31935e-01 
128.52      0.11737     0.26454e-01 
130.76      0.22631     0.40214e-01 
132.69      0.29354     0.41422e-01 
134.86      0.29490     0.41629e-01 
136.57      0.20478     0.40008e-01 
138.75      0.20573     0.39281e-01 
