Projectile: 3He; target: 9Be; E = 6 MeV
http://dx.doi.org/10.1016/0375-9474(69)91052-5
Angle       C/s
32.3        5.15e+02    2.36e+01    
39.5        3.10e+02    1.43e+01    
46.9        1.54e+02    7.09e+00    
50.6        9.90e+01    4.55e+00    
57.8        5.97e+01    2.74e+00    
64.9        4.65e+01    2.13e+00    
70.3        3.61e+01    1.66e+00    
75.6        3.19e+01    1.47e+00    
82.8        2.19e+01    1.00e+00    
88.2        1.59e+01    7.32e-01    
93.6        1.16e+01    5.34e-01    
97.3        7.46e+00    3.42e-01    
102.3       1.03e+01    4.73e-01    
109.3       9.71e+00    4.46e-01    
111.4       5.13e+00    2.36e-01    
116.6       6.24e+00    2.87e-01    
121.8       5.88e+00    2.70e-01    
127.0       6.71e+00    3.08e-01    
130.6       4.89e+00    2.24e-01    
136.0       3.56e+00    1.64e-01    
137.7       4.32e+00    1.99e-01    
141.0       5.97e+00    2.74e-01    
146.0       8.79e+00    4.04e-01    
149.3       1.14e+01    5.23e-01    
154.5       1.14e+01    5.25e-01    
156.2       1.39e+01    6.36e-01    
161.3       1.58e+01    7.26e-01    
166.5       1.69e+01    7.77e-01    
170.0       1.59e+01    7.31e-01    
171.6       1.93e+01    8.86e-01    
