Projectile: 16O; target: 13C; E = 20 MeV
http://dx.doi.org/10.1016/0375-9474(70)90903-6
Angle       R/s
51.881      1.0010      0.0573      
56.915      1.0202      0.0584      
60.994      0.9956      0.057       
64.834      0.9776      0.0624      
68.674      0.9540      0.0547      
72.514      0.9252      0.053       
76.364      0.8382      0.048       
80.694      0.7548      0.0432      
84.313      0.6309      0.0403      
88.184      0.4836      0.0277      
92.5        0.4838      0.0278      
96.562      0.5444      0.0312      
100.65      0.4812      0.0276      
104.25      0.4724      0.0271      
107.87      0.3949      0.0226      
112.46      0.3201      0.0204      
115.62      0.2236      0.0128      
119.96      0.1835      0.0117      
123.83      0.1469      0.0094      
127.91      0.1390      0.0089      
131.97      0.1544      0.0078      
136.06      0.1434      0.0073      
140.13      0.1527      0.0097      
