  Zt    At     Elab     V real    r real    a real    W volu   ir volu   ia volu    W surf   ir surf   ia surf    r coul  
  50   116     26.0    180.719    0.728     0.846     17.678    0.975     0.603     37.857    0.725     0.864     1.105   
  50   116     28.0     180.5      0.73      0.84     19.187    0.979     0.588     37.232    0.726     0.867     1.106   
  50   116     30.0    179.729    0.739     0.864     22.102    0.998     0.599     36.019     0.74     0.882     1.128   
  50   116     35.0    181.352    0.728     0.836     13.613    0.978     0.589     39.489    0.725     0.862     1.105   
  50   120     20.0    181.329    0.728     0.837     13.763    0.978      0.59     39.429    0.725     0.862     1.105   
  50   120     22.0    181.306    0.728     0.838     13.911    0.978     0.591     39.37     0.725     0.863     1.105   
  50   120     24.0    179.966    0.762     0.865     21.646    1.028     0.604      36.2     0.763     0.869     1.162   
  50   120     26.0    179.987    0.766      0.86     21.64     1.032     0.603     36.212    0.766     0.868     1.167   
  50   120     28.0    181.026    0.769     0.872     16.384    1.033     0.603     38.336    0.766      0.86     1.168   
  50   120     30.0    180.004     0.77     0.856     21.628    1.036     0.603     36.227    0.769     0.868     1.171   
  56   138     21.0    181.012    0.771     0.873     16.411    1.036      0.6      38.332    0.768     0.862     1.171   
  56   138     22.0    179.925    0.789     0.857     22.179    1.059     0.603     36.035    0.785     0.868     1.197   
  56   138     23.0    179.327    0.788     0.839     23.91     1.058     0.594     35.326    0.784     0.885     1.196   
  56   138     24.0     178.55    0.787      0.83     25.61     1.058     0.583     34.53     0.784     0.883     1.197   
  56   138     28.0    180.104     0.79     0.854     21.643    1.061     0.604     36.248    0.787     0.863     1.199   
  56   138     30.0    180.964    0.794     0.874     16.999    1.068     0.601     38.117    0.792     0.853     1.207   
  56   138     32.0    180.117    0.797     0.847     21.665    1.068     0.595     36.266    0.791     0.865     1.206   
  62   144     21.6    179.314    0.796      0.83     24.003    1.066     0.588     35.278     0.79     0.884     1.206   
