Projectile: 14N; target: 10B; E = 93.6 MeV
http://dx.doi.org/10.1016/0375-9474(79)90309-9
Angle       C/s
22.2        228.              
24.1        178.              
26.5        38.7              
29.0        20.1              
31.4        33.4              
36.3        8.42              
38.8        6.96              
41.2        8.74              
43.7        6.16              
46.2        3.18              
48.7        3.61              
51.2        3.48              
