Projectile: 10Be; target: 9Be; E = 21.8 MeV
https://doi.org/10.1103/PhysRevC.106.054602
Angle       R/s
27.474      0.40406092  0.01635096  
29.593      0.32581089  0.02823062  
31.713      0.43222068  0.02561953  
33.834      0.28649304  0.02202193  
35.957      0.18443736  0.02156144  
38.081      0.11186024  0.02389194  
40.207      0.15855776  0.01330775  
42.335      0.13209699  0.01612042  
44.465      0.19035920  0.02428964  
46.597      0.21475578  0.03092071  
48.731      0.17440230  0.04786998  
50.868      0.15991814  0.05319878  
57.294      0.04628592  0.06901545  
59.442      0.16454276  0.12853945  
61.594      0.12330970  0.07960413  
63.749      0.09697025  0.04408839  
68.072      0.18249598  0.11781461  
