Projectile: 7Li; target: 80Se; E = 18.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
21.70       1.007       0.033       
24.41       1.006       0.033       
27.42       0.994       0.038       
30.12       0.994       0.031       
32.98       0.985       0.036       
35.67       0.977       0.033       
38.34       0.973       0.033       
41.01       0.982       0.036       
46.17       1.008       0.038       
48.97       0.960       0.033       
51.63       0.978       0.036       
53.89       1.011       0.013       
56.52       0.965       0.020       
59.30       0.988       0.023       
61.91       1.021       0.048       
64.83       0.946       0.020       
67.41       0.941       0.023       
70.01       0.880       0.033       
72.58       0.848       0.018       
75.01       0.752       0.015       
77.56       0.727       0.013       
80.28       0.633       0.018       
82.41       0.670       0.038       
82.61       0.602       0.015       
85.00       0.572       0.013       
87.67       0.532       0.010       
87.78       0.554       0.053       
90.20       0.490       0.010       
92.78       0.425       0.010       
92.98       0.448       0.038       
95.49       0.394       0.046       
97.96       0.387       0.031       
100.46      0.366       0.033       
102.76      0.336       0.023       
105.24      0.287       0.028       
107.81      0.264       0.020       
110.27      0.247       0.018       
112.34      0.225       0.018       
112.38      0.240       0.013       
114.76      0.223       0.010       
117.22      0.197       0.020       
117.32      0.195       0.013       
119.73      0.160       0.013       
122.39      0.146       0.015       
124.77      0.135       0.023       
127.16      0.135       0.025       
129.52      0.126       0.013       
131.75      0.114       0.013       
134.10      0.097       0.008       
136.40      0.104       0.010       
138.73      0.090       0.010       
141.07      0.085       0.013       
143.39      0.077       0.010       
145.80      0.075       0.005       
148.11      0.067       0.008       
150.60      0.074       0.020       
152.90      0.064       0.023       
155.07      0.065       0.020       
157.37      0.057       0.015       
159.80      0.054       0.010       
162.08      0.049       0.010       
164.09      0.055       0.020       
166.37      0.042       0.015       
168.65      0.054       0.023       
170.93      0.048       0.018       
