Projectile: 7Li; target: 116Sn; E = 20.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
31.73       1.01104     0.04908     
36.98       1.00884     0.04918     
42.22       1.00096     0.05912     
47.45       0.99824     0.05039     
52.65       0.99056     0.05417     
57.83       0.98032     0.06869     
63.00       0.97169     0.06999     
68.14       0.96468     0.06098     
73.25       0.96022     0.11957     
78.34       0.95573     0.12382     
83.41       0.95173     0.12175     
88.45       0.94332     0.12645     
93.46       0.93728     0.12831     
98.45       0.92949     0.13029     
103.41      0.92170     0.12914     
108.34      0.91338     0.12623     
113.25      0.90320     0.11159     
118.14      0.89467     0.10614     
123.00      0.88752     0.09001     
127.83      0.88145     0.09969     
132.65      0.87340     0.09640     
137.45      0.86654     0.09101     
142.22      0.85981     0.09575     
146.98      0.85077     0.10418     
151.73      0.84254     0.11050     
161.18      0.83468     0.10318     
170.60      0.82649     0.10540     
