Projectile: 7Li; target: 27Al; E = 19.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.024609
Angle       R/s
15.09       1.0826      0.14        
21.35       0.7806      0.11        
27.57       0.5532      0.08        
32.53       0.2802      0.05        
37.45       0.2334      0.05        
42.34       0.1448      0.04        
45.98       0.1106      0.05        
51.99       0.0884      0.04        
56.75       0.0616      0.03        
61.46       0.0418      0.02        
66.11       0.0338      0.01        
