Projectile: 7Li; target: 144Sm; E = 30.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
23.58       0.991       0.016       
25.06       0.986       0.012       
26.16       1.005       0.014       
29.05       1.003       0.016       
30.21       0.999       0.015       
31.62       1.000       0.015       
34.45       0.996       0.016       
35.29       1.020       0.022       
37.02       0.998       0.010       
39.59       0.993       0.016       
40.54       1.008       0.020       
42.15       0.983       0.014       
45.54       0.996       0.016       
47.20       1.003       0.020       
49.87       1.029       0.023       
50.61       1.033       0.027       
52.42       1.049       0.027       
54.84       1.053       0.018       
59.88       1.053       0.018       
62.42       1.031       0.013       
65.23       1.025       0.023       
67.78       0.941       0.027       
70.57       0.875       0.020       
73.07       0.794       0.015       
75.85       0.737       0.018       
78.08       0.653       0.016       
80.85       0.588       0.012       
83.00       0.540       0.018       
85.76       0.493       0.015       
88.08       0.396       0.010       
90.83       0.345       0.011       
92.92       0.313       0.011       
95.65       0.272       0.007       
97.81       0.233       0.011       
100.53      0.205       0.006       
105.46      0.129       0.010       
107.92      0.109       0.015       
110.58      0.089       0.008       
113.03      0.096       0.010       
115.44      0.066       0.006       
117.88      0.061       0.006       
120.21      0.061       0.006       
122.64      0.055       0.009       
125.14      0.039       0.004       
127.56      0.039       0.005       
129.83      0.038       0.004       
132.24      0.032       0.004       
134.57      0.025       0.003       
136.98      0.022       0.002       
156.18      0.011       0.001       
