Projectile: 7Li; target: 80Se; E = 17.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
21.71       1.011       0.085       
24.42       1.005       0.085       
27.43       1.006       0.079       
30.13       1.007       0.085       
32.99       0.984       0.079       
35.68       0.988       0.079       
38.35       0.982       0.079       
41.02       0.989       0.079       
43.52       0.973       0.079       
46.18       0.975       0.079       
48.99       0.934       0.074       
51.64       0.944       0.079       
53.89       0.978       0.051       
56.58       0.990       0.079       
57.52       1.000       0.062       
59.30       1.001       0.051       
61.81       1.011       0.085       
63.07       1.000       0.062       
64.81       1.025       0.062       
68.45       1.008       0.062       
69.99       1.022       0.062       
73.61       0.973       0.062       
74.99       0.946       0.057       
78.59       0.866       0.057       
80.26       0.840       0.051       
82.40       0.730       0.277       
83.83       0.771       0.051       
84.98       0.765       0.040       
87.77       0.713       0.045       
88.57       0.666       0.057       
90.18       0.688       0.045       
92.97       0.609       0.045       
93.58       0.597       0.040       
95.47       0.635       0.204       
97.95       0.580       0.181       
100.44      0.559       0.170       
102.75      0.519       0.175       
105.22      0.448       0.079       
107.81      0.436       0.198       
110.25      0.347       0.187       
112.32      0.355       0.085       
114.76      0.348       0.051       
117.30      0.331       0.023       
119.72      0.253       0.011       
122.36      0.281       0.113       
124.77      0.245       0.051       
127.13      0.254       0.017       
129.52      0.188       0.006       
131.72      0.200       0.011       
134.10      0.197       0.006       
136.39      0.194       0.006       
138.74      0.185       0.006       
141.06      0.181       0.006       
143.40      0.153       0.006       
145.79      0.141       0.028       
148.12      0.144       0.011       
150.61      0.144       0.051       
152.91      0.141       0.028       
155.08      0.137       0.034       
157.37      0.127       0.017       
159.81      0.125       0.034       
162.09      0.116       0.006       
164.10      0.132       0.023       
166.38      0.106       0.034       
168.66      0.088       0.011       
170.94      0.104       0.045       
