Projectile: 7Li; target: 120Sn; E = 26.0 MeV
http://dx.doi.org/10.1103/PhysRevC.95.064614
Angle       R/s
68.040      0.791       0.010       
73.152      0.692       0.009       
78.240      0.492       0.006       
83.304      0.391       0.007       
93.355      0.268       0.005       
98.342      0.211       0.004       
103.304     0.143       0.002       
108.240     0.117       0.002       
113.152     0.068       0.002       
118.040     0.051       0.001       
122.905     0.040       0.001       
127.747     0.034       0.001       
132.569     0.025       0.001       
137.371     0.020       0.002       
142.156     0.019       0.002       
146.923     0.015       0.001       
151.677     0.013       0.001       
156.417     0.010       0.001       
