Projectile: 7Li; target: 138Ba; E = 24.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
25.3        1.11        
30.9        1.02        
35.6        1.03        
40.3        0.99        
45.5        1.          
50.2        1.          
55.8        1.          
60.5        0.97        
65.2        0.97        
69.5        1.1         
75.9        0.94        
80.7        0.95        
86.7        0.84        
90.6        0.78        
96.2        0.69        
100.1       0.59        
106.1       0.53        
110.9       0.488       
115.2       0.384       
121.3       0.316       
126.        0.304       
130.3       0.24        
135.5       0.222       
141.1       0.198       
146.7       0.176       
151.1       0.15        
157.1       0.134       
161.4       0.124       
166.1       0.115       
