Projectile: 7Li; target: 27Al; E = 18.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
7.55        0.957       0.021       
10.07       1.          0.002       
12.58       1.05        0.009       
15.09       1.067       0.009       
17.6        1.032       0.003       
19.97       1.032       0.006       
22.47       0.866       0.025       
24.96       0.778       0.006       
27.45       0.645       0.005       
29.93       0.55        0.005       
32.5        0.481       0.006       
34.96       0.385       0.007       
37.42       0.34        0.004       
39.87       0.301       0.005       
42.31       0.259       0.004       
44.83       0.23        0.006       
47.24       0.191       0.007       
49.65       0.153       0.006       
52.05       0.128       0.005       
54.43       0.118       0.004       
68.53       0.062       0.01        
70.82       0.05        0.007       
75.35       0.044       0.007       
77.59       0.032       0.005       
