Projectile: 7Li; target: 27Al; E = 10.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
16.47       1.004       0.037       
18.85       1.012       0.02        
21.35       1.025       0.029       
23.84       1.019       0.021       
26.33       1.02        0.027       
29.06       0.979       0.036       
31.41       0.97        0.042       
33.88       0.993       0.034       
34.99       1.056       0.04        
36.34       1.073       0.046       
37.33       1.082       0.017       
38.8        1.081       0.022       
39.9        1.078       0.012       
42.34       1.11        0.019       
44.77       1.05        0.016       
47.31       1.012       0.057       
49.59       0.974       0.031       
50.81       0.989       0.042       
52.11       0.953       0.02        
54.49       0.93        0.028       
56.87       0.876       0.024       
59.12       0.879       0.079       
61.35       0.794       0.04        
62.53       0.751       0.05        
63.8        0.801       0.025       
66.12       0.73        0.035       
68.42       0.711       0.028       
70.61       0.699       0.123       
72.77       0.591       0.053       
74.19       0.56        0.065       
75.14       0.569       0.037       
77.39       0.551       0.046       
79.61       0.524       0.042       
84.07       0.416       0.062       
85.24       0.447       0.084       
86.35       0.5         0.043       
88.51       0.387       0.055       
90.64       0.462       0.046       
94.74       0.37        0.069       
95.78       0.367       0.104       
96.93       0.391       0.06        
101.04      0.39        0.053       
