Projectile: 7Li; target: 120Sn; E = 20.0 MeV
http://dx.doi.org/10.1103/PhysRevC.95.064614
Angle       R/s
57.747      1.007       0.004       
62.905      0.994       0.006       
68.040      0.999       0.006       
83.304      0.993       0.007       
88.342      0.988       0.007       
98.342      0.985       0.011       
105.281     0.964       0.010       
110.208     0.920       0.012       
115.110     0.882       0.012       
124.844     0.780       0.011       
129.679     0.779       0.010       
134.492     0.758       0.010       
139.287     0.701       0.010       
144.065     0.662       0.010       
148.826     0.641       0.008       
153.574     0.603       0.008       
158.310     0.595       0.008       
163.036     0.563       0.009       
