Projectile: 7Li; target: 27Al; E = 14.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
12.58       1.048       0.018       
15.09       1.048       0.01        
17.6        1.046       0.013       
19.97       1.093       0.011       
22.47       1.064       0.007       
24.96       1.048       0.004       
27.45       0.974       0.006       
29.93       0.907       0.005       
32.5        0.86        0.009       
34.96       0.776       0.004       
37.42       0.696       0.004       
39.87       0.627       0.003       
42.31       0.56        0.003       
44.83       0.508       0.013       
47.24       0.439       0.006       
49.65       0.408       0.005       
52.05       0.37        0.004       
54.43       0.325       0.004       
56.9        0.271       0.016       
59.26       0.261       0.006       
61.6        0.237       0.007       
63.93       0.213       0.005       
66.25       0.19        0.005       
68.53       0.167       0.019       
70.82       0.146       0.006       
73.09       0.138       0.007       
75.35       0.12        0.005       
77.59       0.116       0.005       
79.78       0.103       0.012       
81.99       0.1         0.005       
84.18       0.078       0.005       
86.36       0.083       0.004       
88.51       0.076       0.004       
90.6        0.071       0.011       
92.72       0.059       0.005       
94.82       0.058       0.005       
96.9        0.055       0.005       
98.97       0.054       0.005       
