Projectile: 7Li; target: 138Ba; E = 21.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
29.4        1.03        
34.5        1.08        
39.7        1.01        
44.         1.01        
49.5        1.02        
54.7        0.92        
59.8        1.          
65.         1.01        
69.7        0.98        
74.4        0.98        
80.5        0.92        
84.3        0.92        
89.4        1.01        
94.6        0.98        
99.7        0.98        
104.9       0.95        
109.6       0.92        
115.2       0.86        
120.4       0.87        
124.2       0.87        
130.7       0.81        
135.        0.79        
140.5       0.76        
144.8       0.74        
149.6       0.72        
154.7       0.67        
159.9       0.65        
165.        0.63        
