Projectile: 7Li; target: 138Ba; E = 23.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
25.1        1.05        
29.8        1.02        
35.4        1.02        
39.7        0.98        
45.7        0.95        
49.5        0.99        
54.7        1.          
60.3        0.96        
65.4        0.97        
70.1        0.97        
74.8        1.01        
79.6        0.98        
85.6        0.9         
90.3        0.91        
95.         0.91        
99.8        0.84        
104.9       0.72        
110.1       0.67        
115.7       0.62        
120.5       0.53        
126.1       0.448       
130.        0.431       
134.7       0.368       
141.2       0.355       
145.5       0.315       
150.7       0.28        
156.2       0.331       
166.2       0.223       
