Projectile: 7Li; target: 80Se; E = 26.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
19.00       1.000       0.098       
21.70       1.000       0.278       
24.72       1.052       0.063       
27.42       1.174       0.073       
30.29       1.144       0.088       
32.98       1.147       0.171       
35.66       1.015       0.078       
38.34       0.937       0.107       
46.32       0.488       0.034       
48.97       0.428       0.063       
51.24       0.359       0.039       
51.28       0.375       0.024       
53.89       0.306       0.029       
56.55       0.231       0.024       
56.66       0.240       0.020       
59.30       0.185       0.015       
62.19       0.150       0.024       
64.83       0.111       0.010       
67.40       0.098       0.020       
70.01       0.070       0.010       
72.41       0.046       0.005       
75.01       0.038       0.005       
77.70       0.038       0.005       
80.28       0.025       0.005       
82.48       0.036       0.005       
85.04       0.027       0.005       
87.54       0.014       0.005       
90.09       0.010       0.005       
