Projectile: 7Li; target: 116Sn; E = 28.0 MeV
http://dx.doi.org/10.1103/PhysRevC.99.034609
Angle       R/s
31.73       1.0         0.01746     
36.98       1.04544     0.01514     
42.22       1.145       0.00335     
47.45       1.1856      0.00376     
52.65       1.175       0.00331     
57.83       1.05351     0.00325     
63.         0.79936     0.00242     
68.13       0.61915     0.0023      
73.25       0.48208     0.00191     
78.34       0.34431     0.00183     
83.41       0.23652     0.00141     
88.45       0.15745     0.00133     
93.46       0.12054     0.00102     
98.45       0.08767     0.00099     
103.41      0.05518     0.00607     
107.36      0.03884     0.00005     
113.25      0.02917     0.00036     
118.56      0.0175      0.00098     
123.11      0.01512     0.00166     
127.23      0.0122      0.00134     
132.65      0.0098      0.0007      
142.22      0.00766     0.00728     
