Projectile: 7Li; target: 116Sn; E = 30.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
26.46       0.94210     0.08396     
29.10       1.00931     0.08748     
31.73       1.13029     0.14024     
34.36       1.21151     0.14836     
36.98       1.33841     0.14205     
39.61       1.32234     0.14333     
42.22       1.33249     0.14436     
44.84       1.33587     0.14102     
47.45       1.19289     0.14057     
50.05       1.14636     0.14147     
52.65       0.97124     0.10928     
55.24       0.82360     0.09448     
57.83       0.64738     0.09373     
60.42       0.55601     0.09317     
63.00       0.40821     0.09120     
65.57       0.34679     0.09968     
68.14       0.26540     0.08845     
73.25       0.19281     0.01854     
75.80       0.15753     0.01991     
78.34       0.13046     0.01914     
83.41       0.09179     0.00663     
85.93       0.07902     0.00545     
88.45       0.07064     0.00589     
93.46       0.04755     0.00523     
95.96       0.03350     0.00504     
103.41      0.01946     0.00582     
