Projectile: 7Li; target: 27Al; E = 12.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
16.34       1.015       0.012       
18.85       0.993       0.014       
21.35       1.03        0.011       
23.84       1.066       0.012       
26.33       1.108       0.011       
28.94       1.075       0.018       
31.41       1.052       0.022       
32.53       1.033       0.016       
33.88       1.022       0.023       
36.34       0.983       0.023       
37.45       0.961       0.015       
38.8        0.929       0.021       
41.13       0.915       0.034       
43.56       0.81        0.03        
44.89       0.796       0.028       
45.99       0.732       0.032       
48.4        0.701       0.035       
49.71       0.689       0.023       
50.81       0.679       0.031       
53.09       0.512       0.047       
55.47       0.479       0.041       
56.76       0.552       0.036       
57.84       0.452       0.045       
60.19       0.446       0.049       
61.47       0.45        0.029       
62.53       0.485       0.042       
65.03       0.488       0.063       
67.34       0.444       0.054       
68.32       0.36        0.058       
69.64       0.447       0.063       
71.92       0.326       0.057       
72.88       0.302       0.038       
84.18       0.246       0.068       
