Projectile: 7Li; target: 116Sn; E = 24.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
31.73       0.99707     0.04859     
36.98       0.98336     0.04056     
42.22       1.00796     0.04247     
47.45       0.95798     0.04219     
52.65       0.89243     0.04464     
57.83       0.81105     0.04601     
63.00       0.77234     0.08497     
68.14       0.70707     0.07411     
73.25       0.69171     0.08766     
78.34       0.66512     0.09420     
83.41       0.61940     0.08628     
88.45       0.56396     0.06821     
93.46       0.53533     0.06064     
98.45       0.50735     0.06159     
103.41      0.46611     0.05270     
108.34      0.42578     0.05002     
113.25      0.39179     0.05275     
118.14      0.33633     0.05072     
123.00      0.29938     0.05680     
127.83      0.26258     0.05059     
132.65      0.22680     0.04675     
137.45      0.17103     0.04910     
142.22      0.14039     0.04756     
146.98      0.11248     0.03795     
153.62      0.09367     0.03484     
