Projectile: 7Li; target: 116Sn; E = 18.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
31.73       1.00884     0.02164     
36.98       1.00916     0.01790     
42.22       1.00792     0.02156     
47.45       1.00633     0.01767     
52.65       1.00521     0.02382     
57.83       1.00441     0.02016     
63.00       1.00357     0.02071     
68.14       0.99965     0.02921     
73.25       0.99774     0.02879     
78.34       0.99606     0.01779     
83.41       0.99498     0.01577     
88.45       0.99323     0.02186     
93.46       0.99214     0.01819     
98.45       0.99139     0.04500     
103.41      0.98847     0.03586     
108.34      0.98763     0.03974     
113.25      0.98288     0.04499     
118.14      0.98002     0.04491     
123.00      0.97876     0.02910     
127.83      0.97674     0.03314     
132.65      0.97539     0.02484     
137.45      0.97413     0.02932     
142.22      0.97270     0.02952     
146.98      0.97009     0.03442     
151.73      0.96991     0.03575     
161.18      0.96445     0.03150     
170.60      0.96108     0.03778     
