Projectile: 7Li; target: 28Si; E = 9.0 MeV
http://dx.doi.org/10.1103/PhysRevC.69.054602
Angle       R/s
33.517      0.98526     0.00278     
37.181      0.98306     0.00337     
43.244      0.99296     0.00405     
46.854      1.01454     0.00389     
49.247      0.98656     0.00528     
50.44       1.01311     0.00432     
54.001      1.00514     0.00503     
55.182      1.03304     0.00654     
57.535      0.96991     0.0062      
61.041      0.98559     0.0089      
66.817      0.98806     0.01296     
72.504      0.99443     0.01635     
78.096      0.88687     0.01855     
83.587      0.94414     0.02329     
88.974      0.86035     0.02536     
94.253      0.8008      0.02533     
99.421      0.78624     0.03881     
104.478     0.72498     0.03011     
109.421     0.69743     0.03328     
114.253     0.66999     0.03281     
118.974     0.62021     0.03218     
123.587     0.67222     0.03241     
128.096     0.60073     0.02888     
132.504     0.54753     0.02488     
136.817     0.53692     0.02583     
141.041     0.4794      0.02792     
145.182     0.51368     0.03436     
