Projectile: 7Li; target: 144Sm; E = 35.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
18.34       1.055       0.037       
21.20       1.040       0.027       
23.82       1.015       0.027       
26.63       0.985       0.018       
29.23       0.940       0.024       
31.78       0.973       0.042       
34.38       0.955       0.024       
36.85       1.019       0.017       
39.45       1.018       0.015       
42.10       1.080       0.035       
44.69       1.069       0.025       
47.09       1.057       0.032       
49.68       0.989       0.032       
52.15       0.945       0.019       
54.72       0.825       0.014       
60.10       0.625       0.039       
62.40       0.504       0.034       
65.41       0.418       0.014       
67.76       0.347       0.028       
70.45       0.280       0.033       
73.05       0.209       0.010       
75.41       0.202       0.008       
78.06       0.156       0.020       
80.52       0.126       0.009       
82.98       0.117       0.004       
85.38       0.069       0.006       
88.06       0.072       0.003       
90.30       0.044       0.007       
92.90       0.031       0.003       
97.79       0.021       0.003       
102.74      0.017       0.001       
