Projectile: 7Li; target: 138Ba; E = 28.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
35.4        1.03        
45.7        1.09        
50.8        1.23        
56.         1.11        
60.3        1.03        
66.3        0.96        
70.6        0.76        
75.9        0.61        
81.1        0.448       
86.3        0.317       
91.1        0.243       
95.9        0.172       
102.1       0.117       
106.8       0.097       
110.7       0.08        
116.9       0.0485      
121.2       0.0417      
125.6       0.0307      
131.2       0.0254      
136.        0.0187      
141.3       0.0149      
146.        0.0139      
150.3       0.011       
155.9       0.0103      
161.6       0.0089      
165.9       0.0079      
171.        0.0074      
