Projectile: 7Li; target: 138Ba; E = 22.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
24.9        1.12        
29.6        1.09        
35.2        1.14        
39.9        1.06        
45.         1.03        
49.7        1.12        
54.9        1.04        
59.6        1.01        
65.2        1.06        
69.5        1.03        
74.2        1.04        
79.3        1.09        
85.         0.93        
90.1        0.98        
94.8        1.03        
100.        0.96        
105.1       0.89        
109.9       0.86        
115.        0.87        
119.8       0.78        
125.3       0.78        
129.7       0.62        
135.3       0.55        
140.4       0.63        
145.1       0.56        
150.3       0.54        
155.        0.55        
164.9       0.435       
