Projectile: 7Li; target: 116Sn; E = 23.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
26.46       1.01123     0.04391     
31.73       1.02439     0.03574     
36.98       0.99626     0.04411     
42.22       0.98410     0.04611     
47.45       0.95519     0.09679     
52.65       0.94022     0.09816     
57.83       0.93848     0.09798     
63.00       0.91826     0.10195     
68.14       0.87100     0.09639     
73.25       0.83171     0.09714     
78.34       0.82647     0.09882     
83.41       0.81096     0.10907     
88.45       0.80816     0.09440     
93.46       0.79664     0.10367     
98.45       0.72382     0.10658     
103.41      0.67884     0.10758     
108.34      0.61236     0.08624     
113.25      0.54532     0.09981     
118.14      0.50194     0.08895     
123.00      0.45677     0.08688     
127.83      0.39609     0.08883     
132.65      0.34072     0.08560     
137.45      0.30696     0.08886     
142.22      0.25944     0.08646     
146.98      0.19566     0.08714     
153.62      0.16579     0.08627     
163.07      0.13173     0.07269     
172.48      0.11691     0.07397     
