Projectile: 7Li; target: 138Ba; E = 30.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
35.6        1.09        
41.1        1.31        
45.5        1.18        
49.7        1.24        
55.8        1.04        
60.6        0.86        
65.8        0.66        
70.2        0.445       
75.8        0.37        
80.2        0.231       
86.8        0.151       
91.6        0.098       
96.1        0.059       
101.3       0.0434      
106.1       0.0319      
110.        0.0243      
115.7       0.0179      
120.5       0.0132      
125.8       0.0089      
130.9       0.008       
136.2       0.0055      
