Projectile: 7Li; target: 120Sn; E = 24.0 MeV
http://dx.doi.org/10.1103/PhysRevC.95.064614
Angle       R/s
57.747      1.133       0.006       
68.040      1.105       0.009       
78.240      0.722       0.010       
88.342      0.592       0.007       
93.355      0.473       0.005       
98.342      0.384       0.006       
103.304     0.270       0.003       
108.240     0.240       0.003       
113.152     0.193       0.003       
118.040     0.152       0.003       
122.905     0.125       0.003       
127.747     0.102       0.003       
132.569     0.088       0.002       
137.371     0.077       0.002       
142.156     0.068       0.002       
146.923     0.059       0.002       
151.677     0.051       0.002       
156.417     0.047       0.002       
161.147     0.038       0.002       
