Projectile: 7Li; target: 80Se; E = 23.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
19.00       1.035       0.0353      
21.71       1.016       0.0339      
24.72       0.965       0.0325      
27.43       0.984       0.0339      
30.29       0.999       0.0339      
32.99       1.072       0.0366      
35.66       1.076       0.0366      
38.35       1.083       0.0366      
46.32       0.782       0.0271      
48.99       0.706       0.0244      
51.28       0.677       0.0922      
53.94       0.581       0.0787      
56.55       0.503       0.0678      
59.19       0.424       0.0570      
62.20       0.400       0.0542      
64.82       0.314       0.0420      
67.41       0.304       0.0407      
70.00       0.250       0.0339      
77.71       0.131       0.0176      
80.27       0.118       0.0163      
82.45       0.108       0.0149      
84.99       0.080       0.0108      
87.66       0.060       0.0081      
90.18       0.053       0.0068      
92.97       0.033       0.0041      
95.47       0.030       0.0041      
97.95       0.025       0.0041      
100.44      0.020       0.0027      
102.75      0.019       0.0027      
105.22      0.017       0.0027      
107.81      0.012       0.0014      
110.25      0.011       0.0014      
112.37      0.013       0.0014      
114.80      0.008       0.0014      
117.21      0.009       0.0014      
119.62      0.007       0.0014      
