Projectile: 7Li; target: 27Al; E = 11.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
15.09       1.007       0.011       
17.6        0.997       0.009       
20.1        1.          0.006       
22.6        1.034       0.004       
24.96       1.038       0.005       
27.45       1.036       0.005       
29.93       1.068       0.004       
32.4        1.069       0.005       
34.87       1.079       0.005       
37.42       1.043       0.006       
39.87       1.          0.006       
42.31       0.958       0.005       
44.74       0.931       0.005       
47.15       0.884       0.005       
49.65       0.817       0.009       
52.05       0.749       0.008       
54.43       0.711       0.006       
56.81       0.678       0.006       
59.17       0.632       0.006       
61.6        0.595       0.012       
63.93       0.518       0.011       
66.25       0.478       0.008       
68.56       0.445       0.007       
70.84       0.404       0.007       
73.09       0.395       0.014       
75.35       0.39        0.013       
77.59       0.341       0.01        
79.81       0.338       0.009       
82.02       0.302       0.008       
84.18       0.299       0.01        
86.36       0.268       0.009       
87.36       0.259       0.01        
88.51       0.254       0.007       
90.65       0.243       0.007       
92.77       0.221       0.007       
94.82       0.216       0.009       
96.9        0.202       0.009       
97.99       0.193       0.009       
98.97       0.18        0.007       
100.99      0.177       0.011       
101.01      0.183       0.007       
103.02      0.167       0.013       
103.04      0.171       0.007       
105.03      0.17        0.01        
107.02      0.153       0.012       
108.15      0.16        0.01        
109.97      0.133       0.01        
111.01      0.145       0.007       
112.95      0.145       0.009       
114.86      0.126       0.009       
116.76      0.121       0.009       
117.84      0.106       0.008       
119.57      0.119       0.007       
120.57      0.116       0.007       
122.41      0.104       0.011       
124.24      0.089       0.013       
126.04      0.078       0.016       
126.99      0.083       0.013       
128.72      0.078       0.016       
129.67      0.082       0.008       
131.43      0.092       0.011       
133.17      0.073       0.011       
134.89      0.086       0.013       
135.71      0.08        0.006       
137.45      0.08        0.011       
138.28      0.069       0.009       
139.96      0.067       0.011       
141.62      0.06        0.011       
143.27      0.068       0.009       
144.03      0.093       0.033       
145.73      0.076       0.011       
151.98      0.055       0.01        
154.43      0.088       0.011       
155.99      0.097       0.014       
157.54      0.075       0.011       
159.09      0.059       0.009       
161.39      0.073       0.013       
162.05      0.068       0.015       
163.57      0.077       0.016       
165.09      0.084       0.015       
166.6       0.091       0.018       
168.85      0.083       0.012       
