Projectile: 7Li; target: 116Sn; E = 35.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
26.46       0.95204     0.01986     
29.10       1.04887     0.14044     
31.73       1.09955     0.16900     
34.36       1.03891     0.16447     
36.98       0.86217     0.09806     
36.98       0.87548     0.09876     
39.61       0.77276     0.09568     
42.22       0.67738     0.08241     
44.84       0.52371     0.08801     
47.45       0.48317     0.08189     
47.45       0.48534     0.08183     
50.05       0.39566     0.06970     
52.65       0.31692     0.05750     
55.24       0.25195     0.04532     
57.83       0.16670     0.01930     
57.83       0.16679     0.01972     
57.83       0.16679     0.02156     
57.83       0.16670     0.02010     
60.42       0.11937     0.01043     
63.00       0.10253     0.01067     
65.57       0.08498     0.00958     
68.14       0.05348     0.00969     
75.80       0.02462     0.00463     
78.34       0.02018     0.00427     
85.93       0.00977     0.00087     
88.45       0.00665     0.00076     
