Projectile: 7Li; target: 116Sn; E = 19.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
31.73       1.00994     0.03572     
36.98       1.00801     0.01721     
42.22       1.00704     0.03647     
47.45       1.00545     0.01802     
52.65       1.00429     0.03833     
57.83       1.00341     0.01923     
63.00       1.00105     0.04436     
68.14       1.00048     0.02304     
73.25       0.99696     0.01912     
78.34       0.99298     0.01856     
83.41       0.98873     0.02051     
88.45       0.98315     0.01841     
93.46       0.97939     0.02014     
98.45       0.97572     0.02158     
103.41      0.97026     0.02545     
108.34      0.96400     0.02264     
113.25      0.96062     0.03400     
118.14      0.95507     0.03606     
123.00      0.95178     0.03713     
127.83      0.94652     0.02602     
132.65      0.94214     0.03458     
137.45      0.93826     0.02825     
142.22      0.93489     0.03573     
144.13      0.93140     0.02981     
146.98      0.92763     0.03485     
153.62      0.92235     0.03376     
163.07      0.91737     0.02912     
172.48      0.91290     0.03414     
