Projectile: 7Li; target: 28Si; E = 8.5 MeV
http://dx.doi.org/10.1103/PhysRevC.69.054602
Angle       R/s
31.065      1.02238     0.00456     
37.181      0.99188     0.0092      
49.247      1.02022     0.02598     
61.041      0.99343     0.04103     
66.817      1.05061     0.04612     
72.504      1.06384     0.0575      
83.587      0.9222      0.05675     
94.253      0.9686      0.05379     
104.478     0.82916     0.03279     
114.253     0.87042     0.04592     
118.974     0.77396     0.04807     
123.587     0.76168     0.0551      
132.504     0.81389     0.06496     
141.041     0.72677     0.03834     
145.18201   0.56736     0.02229     
