Projectile: 7Li; target: 120Sn; E = 22.0 MeV
http://dx.doi.org/10.1103/PhysRevC.95.064614
Angle       R/s
57.747      0.993       0.009       
62.905      1.011       0.007       
68.040      0.997       0.008       
73.152      1.022       0.011       
78.240      1.002       0.012       
83.304      1.035       0.017       
88.342      0.976       0.011       
93.355      0.870       0.007       
98.342      0.756       0.007       
103.304     0.702       0.007       
108.240     0.603       0.007       
113.152     0.509       0.008       
118.040     0.441       0.005       
122.905     0.401       0.005       
127.747     0.345       0.005       
132.569     0.308       0.005       
137.371     0.269       0.005       
142.156     0.248       0.004       
146.923     0.209       0.003       
151.677     0.190       0.003       
156.417     0.182       0.003       
161.147     0.175       0.004       
