Projectile: 6Li; target: 138Ba; E = 24.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
30.9        1.1         
36.4        1.09        
41.1        1.09        
50.5        1.12        
55.6        1.05        
60.7        1.12        
65.4        1.11        
70.5        1.11        
75.6        1.04        
81.1        0.94        
85.8        0.91        
90.9        0.82        
96.         0.68        
101.1       0.632       
105.4       0.555       
110.9       0.471       
115.6       0.427       
120.3       0.374       
125.8       0.339       
130.5       0.297       
135.6       0.278       
145.8       0.221       
