Projectile: 6Li; target: 116Sn; E = 23.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
30.917      1.138e+00   1.210e+00   
36.205      1.138e+00   2.064e+00   
41.663      1.138e+00   1.749e+00   
46.610      1.138e+00   1.749e+00   
51.898      1.026e+00   1.091e+00   
57.015      1.138e+00   1.466e+00   
62.132      1.138e+00   9.790e-01   
67.420      1.138e+00   1.210e+00   
72.367      1.026e+00   1.577e+00   
77.484      1.026e+00   1.322e+00   
82.601      9.249e-01   1.422e+00   
87.548      8.340e-01   1.075e+00   
92.495      6.781e-01   1.043e+00   
97.612      6.114e-01   9.403e-01   
102.559     5.513e-01   7.103e-01   
107.505     4.971e-01   5.286e-01   
112.452     3.644e-01   6.613e-01   
117.399     3.286e-01   5.963e-01   
122.175     3.286e-01   6.971e-01   
127.122     2.672e-01   4.109e-01   
131.898     2.409e-01   5.111e-01   
136.844     2.172e-01   3.942e-01   
141.620     1.959e-01   2.083e-01   
146.397     1.766e-01   1.197e-01   
151.173     1.593e-01   3.379e-01   
160.725     1.436e-01   4.077e-01   
170.277     1.295e-01   3.188e-01   
