Projectile: 6Li; target: 27Al; E = 18.0 MeV
http://dx.doi.org/10.1103/PhysRevC.75.017602
Angle       R/s
9.8         1.050       0.014       
19.5        0.849       0.003       
21.8        0.705       0.007       
24.2        0.609       0.012       
27.9        0.535       0.006       
31.5        0.426       0.008       
34.0        0.357       0.007       
36.4        0.298       0.006       
39.9        0.250       0.005       
43.5        0.216       0.005       
45.9        0.189       0.006       
51.8        0.115       0.007       
57.7        0.094       0.007       
59.9        0.080       0.008       
63.4        0.071       0.007       
69.0        0.031       0.006       
71.2        0.041       0.008       
74.5        0.028       0.007       
77.8        0.034       0.005       
80.0        0.029       0.004       
82.1        0.033       0.005       
85.4        0.017       0.004       
88.5        0.018       0.003       
