Projectile: 6Li; target: 90Zr; E = 12.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
52.67       1.0035      2.01e-02    
63.05       1.0013      9.2e-04     
68.05       1.0002      8.8e-04     
78.28       0.9999      1.44e-03    
83.36       0.9932      2.02e-02    
88.56       0.9913      2.01e-02    
93.57       1.0107      2.01e-02    
98.56       1.0015      1.52e-03    
103.52      0.9983      1.29e-03    
107.17      0.9998      1.22e-03    
108.45      0.9979      1.58e-03    
113.35      0.9908      2.01e-02    
115.64      0.9876      2.02e-02    
116.96      1.0052      2.01e-02    
126.64      1.0035      2.01e-02    
130.15      0.9885      2.e-03      
132.55      0.9943      2.03e-03    
137.47      0.9927      1.51e-03    
146.96      0.9832      1.64e-03    
151.68      0.9920      1.66e-03    
151.68      0.9880      1.48e-03    
151.68      0.9764      1.48e-03    
154.50      0.9704      1.59e-03    
154.50      0.9872      1.58e-03    
156.38      0.9834      1.59e-02    
156.38      0.9831      2.01e-02    
156.38      0.9513      1.35e-02    
158.73      0.9819      2.02e-02    
158.73      0.9701      1.6e-02     
161.08      0.9685      1.42e-02    
161.08      0.9750      1.54e-03    
161.08      0.9530      1.53e-02    
163.89      0.9804      1.54e-02    
165.76      0.9449      1.46e-02    
165.76      0.9587      2.02e-02    
170.44      0.9601      2.01e-02    
170.44      0.9375      1.31e-02    
173.24      0.9518      1.41e-02    
173.24      0.9639      1.47e-03    
