Projectile: 6Li; target: 28Si; E = 13.0 MeV
http://dx.doi.org/10.1016/S0370-2693(03)00079-0
Angle       R/s
30.21       0.979       0.00113     
36.17       0.846       0.0018      
47.94       0.6         0.003       
59.48       0.358       0.0066      
70.73       0.268       0.0044      
78.94       0.21        0.02        
89.6        0.15        0.015       
99.9        0.1125      0.01        
107.368     0.081       0.008       
112.224     0.06637     0.00446     
121.656     0.059       0.0033      
130.73      0.05        0.005       
137.        0.038       0.005       
145.8       0.031       0.0029      
