Projectile: 6Li; target: 120Sn; E = 27.0 MeV
http://dx.doi.org/10.1103/PhysRevC.106.014622
Angle       R/s
57.355      8.997e-01   2.719e-02   
62.490      8.278e-01   2.562e-02   
67.606      6.388e-01   1.998e-02   
72.702      4.802e-01   1.599e-02   
77.777      3.687e-01   1.333e-02   
82.832      2.833e-01   6.301e-03   
82.832      2.833e-01   1.193e-02   
87.865      2.270e-01   6.916e-03   
92.876      1.607e-01   6.872e-03   
97.865      1.265e-01   5.472e-03   
102.832     9.440e-02   5.041e-03   
107.777     7.817e-02   5.407e-03   
127.780     2.690e-02   3.829e-04   
134.155     2.258e-02   3.396e-04   
140.718     1.941e-02   3.272e-04   
147.162     1.611e-02   3.114e-04   
153.607     1.543e-02   3.192e-04   
157.742     1.763e-02   3.774e-04   
