Projectile: 6Li; target: 116Sn; E = 30.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
20.727      1.060e+00   7.162e-01   
26.124      1.055e+00   7.133e-01   
31.238      1.051e+00   1.434e+00   
36.494      1.046e+00   8.645e-01   
41.891      1.041e+00   8.607e-01   
46.862      8.727e-01   7.213e-01   
52.260      8.686e-01   7.180e-01   
57.373      5.624e-01   1.159e+00   
62.486      4.325e-01   5.062e-01   
67.740      2.800e-01   3.275e-01   
72.711      1.813e-01   1.226e-01   
77.824      1.279e-01   6.882e-02   
82.936      7.600e-02   5.140e-02   
87.908      8.248e-02   1.304e-02   
92.878      4.900e-02   4.049e-02   
97.991      3.173e-02   3.710e-02   
102.962     2.239e-02   1.204e-02   
107.933     1.877e-02   2.961e-02   
