Projectile: 6Li; target: 112Sn; E = 25.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
31.400      1.006e+00   7.235e-01   
36.769      1.009e+00   3.136e-01   
42.138      1.011e+00   2.277e-01   
47.149      1.013e+00   2.284e-01   
52.519      9.489e-01   2.952e-01   
57.530      9.509e-01   2.956e-01   
62.898      1.020e+00   5.119e-01   
67.911      8.926e-01   4.474e-01   
72.924      7.812e-01   4.737e-01   
77.937      6.837e-01   1.539e-01   
82.950      5.592e-01   2.252e-01   
87.963      4.894e-01   1.972e-01   
93.334      4.003e-01   2.007e-01   
98.347      3.504e-01   1.756e-01   
103.004     2.677e-01   8.324e-02   
108.016     2.343e-01   1.174e-01   
113.032     1.674e-01   8.394e-02   
117.686     1.465e-01   5.905e-02   
122.699     1.282e-01   5.165e-02   
127.714     9.798e-02   3.952e-02   
132.368     9.175e-02   1.331e-02   
137.381     7.504e-02   1.686e-02   
142.035     7.026e-02   5.046e-02   
146.690     6.148e-02   1.915e-02   
151.703     5.381e-02   1.674e-02   
161.011     4.718e-02   1.903e-02   
170.316     5.424e-02   1.686e-02   
