Projectile: 6Li; target: 144Sm; E = 28.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
15.62       1.007       0.010       
18.21       1.014       0.007       
21.07       1.012       0.007       
23.65       1.019       0.006       
31.58       1.007       0.008       
34.16       0.999       0.007       
36.62       0.992       0.009       
39.20       0.997       0.007       
41.84       1.005       0.010       
44.41       0.994       0.010       
46.81       0.993       0.010       
49.37       0.993       0.008       
51.85       0.987       0.011       
54.40       1.009       0.007       
56.95       1.036       0.013       
59.77       1.034       0.010       
62.30       1.046       0.013       
65.07       1.029       0.009       
67.59       1.003       0.012       
70.09       0.992       0.008       
72.61       0.975       0.010       
75.04       0.918       0.008       
77.54       0.877       0.010       
80.14       0.836       0.008       
82.64       0.807       0.010       
85.00       0.729       0.007       
87.49       0.721       0.009       
89.92       0.636       0.006       
92.39       0.586       0.007       
94.88       0.522       0.016       
97.62       0.503       0.013       
100.10      0.442       0.013       
102.78      0.405       0.010       
105.25      0.382       0.010       
107.67      0.333       0.008       
110.13      0.303       0.008       
112.49      0.291       0.007       
114.94      0.247       0.007       
117.45      0.251       0.006       
119.90      0.217       0.006       
122.19      0.199       0.005       
124.62      0.188       0.005       
126.98      0.167       0.004       
129.39      0.158       0.004       
131.85      0.158       0.013       
134.48      0.118       0.010       
136.94      0.116       0.010       
139.52      0.120       0.008       
141.97      0.103       0.007       
144.30      0.095       0.006       
146.75      0.092       0.006       
149.01      0.083       0.005       
151.45      0.084       0.005       
153.88      0.087       0.005       
156.31      0.085       0.005       
158.52      0.082       0.004       
160.95      0.070       0.004       
163.23      0.066       0.003       
165.66      0.071       0.003       
