Projectile: 6Li; target: 80Se; E = 20.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
24.16       0.977       0.078       
26.82       0.978       0.056       
30.05       1.023       0.025       
32.70       1.023       0.038       
35.26       1.049       0.052       
37.90       1.058       0.059       
40.63       1.140       0.054       
43.27       1.132       0.078       
45.60       1.122       0.029       
48.23       1.077       0.055       
51.03       1.068       0.034       
53.64       0.961       0.039       
55.84       0.950       0.014       
58.36       0.853       0.033       
61.06       0.792       0.025       
63.65       0.723       0.026       
66.74       0.669       0.021       
71.96       0.552       0.019       
76.79       0.438       0.017       
79.14       0.438       0.046       
82.03       0.346       0.021       
84.75       0.320       0.018       
86.61       0.267       0.009       
89.69       0.255       0.010       
91.73       0.216       0.012       
94.77       0.206       0.010       
96.79       0.189       0.018       
99.45       0.168       0.007       
102.27      0.135       0.006       
104.55      0.128       0.007       
107.09      0.118       0.003       
108.99      0.107       0.005       
112.06      0.099       0.004       
113.96      0.085       0.004       
116.64      0.077       0.004       
121.62      0.063       0.003       
125.97      0.055       0.002       
130.83      0.046       0.003       
