Projectile: 6Li; target: 116Sn; E = 26.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
20.480      1.036e+00   8.916e-01   
25.779      1.046e+00   9.009e-01   
30.907      1.055e+00   5.413e-01   
36.719      1.065e+00   1.925e-01   
41.677      9.690e-01   1.030e+00   
46.634      9.773e-01   2.075e+00   
51.933      9.863e-01   1.269e+00   
57.062      8.972e-01   9.530e-01   
62.191      8.162e-01   1.255e+00   
67.491      6.697e-01   8.624e-01   
72.448      6.091e-01   7.851e-01   
77.578      4.505e-01   6.928e-01   
82.707      4.098e-01   5.277e-01   
87.665      3.361e-01   4.327e-01   
92.624      2.485e-01   3.814e-01   
97.753      1.838e-01   2.369e-01   
102.711     1.671e-01   2.568e-01   
107.670     1.236e-01   1.314e-01   
112.627     1.124e-01   1.195e-01   
117.415     8.309e-02   1.070e-01   
122.374     5.540e-02   4.767e-02   
127.161     5.036e-02   5.359e-02   
132.118     5.080e-02   7.808e-02   
137.077     4.165e-02   8.829e-02   
