Projectile: 6Li; target: 144Sm; E = 21.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
34.25       0.999       0.014       
36.83       1.004       0.014       
44.40       1.000       0.015       
46.97       0.989       0.015       
49.68       1.005       0.016       
52.25       1.019       0.016       
54.44       0.991       0.010       
57.00       1.010       0.010       
59.70       1.006       0.010       
62.14       0.995       0.016       
65.08       1.008       0.012       
67.62       1.015       0.011       
75.06       0.994       0.011       
77.59       1.010       0.010       
80.25       1.004       0.012       
82.77       1.007       0.011       
84.91       0.981       0.008       
87.42       0.982       0.008       
90.18       0.993       0.013       
92.68       1.004       0.013       
107.58      1.018       0.009       
109.78      1.015       0.018       
110.18      1.006       0.009       
112.24      1.017       0.018       
114.79      0.996       0.008       
117.35      0.998       0.007       
119.88      0.999       0.007       
122.32      0.998       0.006       
129.66      0.997       0.010       
132.10      0.969       0.010       
134.46      0.974       0.009       
136.89      0.964       0.009       
139.20      0.957       0.009       
141.62      0.954       0.009       
144.21      0.961       0.007       
146.80      0.935       0.013       
153.87      0.940       0.010       
156.28      0.937       0.010       
158.81      0.930       0.010       
161.21      0.927       0.010       
163.30      0.935       0.008       
165.70      0.944       0.008       
168.09      0.951       0.007       
170.49      0.930       0.007       
