Projectile: 6Li; target: 144Sm; E = 42.3 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
19.95       1.011       0.009       
22.58       1.000       0.015       
25.09       0.987       0.015       
27.71       1.028       0.017       
30.14       1.070       0.017       
32.76       1.111       0.016       
35.37       1.037       0.070       
36.72       1.005       0.018       
37.99       0.964       0.074       
39.30       0.898       0.013       
40.36       0.768       0.036       
41.76       0.779       0.014       
42.97       0.668       0.018       
44.33       0.629       0.010       
45.41       0.538       0.008       
48.02       0.434       0.006       
49.76       0.368       0.020       
51.92       0.311       0.012       
54.49       0.249       0.007       
55.14       0.198       0.016       
56.96       0.183       0.002       
59.51       0.142       0.002       
60.45       0.132       0.007       
62.32       0.108       0.005       
64.86       0.083       0.005       
65.49       0.086       0.005       
67.61       0.054       0.002       
70.14       0.0384      0.0017      
72.63       0.0229      0.0014      
75.15       0.0189      0.0013      
85.38       0.0080      0.0016      
87.51       0.0050      0.0008      
92.42       0.0044      0.0008      
94.91       0.0026      0.0004      
