Projectile: 6Li; target: 90Zr; E = 15.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
47.44       1.0059      2.8e-03     
63.05       1.0001      6.09e-03    
68.21       1.0053      5.51e-03    
78.44       1.0017      6.91e-03    
83.51       0.9984      7.19e-03    
88.56       1.0024      7.75e-03    
93.57       0.9949      8.51e-03    
98.56       0.9936      9.37e-03    
103.52      1.0011      9.06e-03    
108.45      0.9950      1.065e-03   
115.79      0.9875      1.464e-03   
118.22      0.9671      1.065e-03   
123.07      0.9612      1.155e-03   
125.48      0.9357      8.77e-03    
127.89      0.9548      1.107e-03   
130.29      0.9313      9.82e-04    
135.08      0.9243      9.31e-03    
137.47      0.9177      1.154e-03   
139.85      0.9189      1.032e-03   
142.22      0.9245      1.173e-03   
144.59      0.9002      8.82e-03    
146.96      0.9113      1.1e-03     
149.32      0.8973      8.7e-03     
151.68      0.8906      9.98e-04    
154.03      0.8849      9.26e-03    
154.50      0.8969      1.02e-03    
158.73      0.8710      8.77e-03    
163.89      0.8697      1.018e-03   
168.10      0.8692      8.07e-03    
170.44      0.8740      9.25e-03    
