Projectile: 6Li; target: 80Se; E = 14.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
40.61       1.013       0.018       
43.27       0.999       0.016       
45.59       1.000       0.013       
48.23       1.001       0.018       
51.01       1.026       0.019       
53.64       1.027       0.017       
55.74       1.029       0.018       
58.36       1.032       0.017       
61.36       1.012       0.013       
63.65       1.034       0.021       
64.26       0.997       0.016       
66.74       1.004       0.011       
69.32       1.003       0.018       
71.96       1.040       0.024       
74.53       1.044       0.015       
76.79       1.022       0.020       
79.34       1.027       0.012       
82.03       1.013       0.019       
84.57       1.021       0.018       
86.61       0.994       0.022       
89.13       0.995       0.020       
91.73       1.054       0.040       
93.31       1.014       0.028       
94.82       0.997       0.041       
98.19       0.986       0.017       
99.69       1.003       0.026       
103.21      1.014       0.028       
104.70      1.036       0.017       
107.85      0.982       0.034       
109.33      0.971       0.033       
112.89      0.923       0.030       
114.36      0.919       0.047       
116.97      0.924       0.018       
118.75      0.910       0.039       
121.70      0.902       0.010       
123.84      0.889       0.037       
126.57      0.885       0.018       
128.88      0.838       0.027       
131.07      0.856       0.020       
133.37      0.850       0.029       
135.97      0.828       0.028       
138.26      0.786       0.033       
140.25      0.813       0.016       
142.52      0.783       0.030       
145.49      0.799       0.033       
147.85      0.777       0.035       
150.24      0.798       0.024       
152.59      0.792       0.022       
154.64      0.765       0.026       
156.98      0.765       0.019       
159.44      0.774       0.024       
161.78      0.758       0.030       
163.63      0.765       0.020       
165.97      0.757       0.031       
168.35      0.724       0.018       
170.68      0.685       0.024       
