Projectile: 6Li; target: 28Si; E = 240.0 MeV
http://dx.doi.org/10.1103/PhysRevC.80.014312
Angle       R/s
4.31        3.91e-01    4.37e-02    
4.83        1.40e-01    1.58e-02    
5.35        1.25e-01    1.42e-02    
5.86        2.64e-01    2.96e-02    
6.38        4.22e-01    4.72e-02    
6.74        5.64e-01    6.31e-02    
6.90        4.61e-01    5.16e-02    
7.26        4.87e-01    5.45e-02    
7.42        3.67e-01    4.12e-02    
7.78        2.54e-01    2.87e-02    
7.94        2.15e-01    2.42e-02    
8.30        9.24e-02    1.17e-02    
8.82        2.39e-02    3.27e-03    
9.18        2.99e-02    3.50e-03    
9.34        4.90e-02    5.63e-03    
9.70        8.00e-02    9.01e-03    
9.86        1.36e-01    1.53e-02    
10.22       1.99e-01    2.23e-02    
10.38       2.16e-01    2.42e-02    
10.74       2.94e-01    3.29e-02    
11.26       3.14e-01    3.53e-02    
11.69       3.02e-01    3.38e-02    
11.77       2.54e-01    2.86e-02    
12.20       2.13e-01    2.39e-02    
12.29       1.67e-01    1.88e-02    
12.72       1.07e-01    1.22e-02    
12.81       8.33e-02    9.64e-03    
13.24       5.43e-02    6.55e-03    
13.75       5.63e-02    6.38e-03    
14.11       7.56e-02    8.59e-03    
14.27       9.25e-02    1.05e-02    
14.63       1.29e-01    1.46e-02    
14.78       1.38e-01    1.55e-02    
15.14       1.76e-01    1.99e-02    
15.30       1.67e-01    1.88e-02    
15.66       1.85e-01    2.10e-02    
16.18       1.64e-01    1.87e-02    
16.54       1.33e-01    1.50e-02    
16.69       1.33e-01    1.51e-02    
17.05       1.05e-01    1.19e-02    
17.21       9.85e-02    1.14e-02    
17.57       7.76e-02    8.97e-03    
17.72       8.28e-02    9.67e-03    
18.09       6.96e-02    8.02e-03    
18.60       8.16e-02    9.39e-03    
18.96       8.40e-02    9.56e-03    
19.12       9.54e-02    1.09e-02    
19.48       1.04e-01    1.18e-02    
19.63       1.06e-01    1.21e-02    
19.99       1.14e-01    1.31e-02    
20.15       1.14e-01    1.29e-02    
20.51       1.15e-01    1.31e-02    
21.02       1.06e-01    1.21e-02    
21.38       8.89e-02    1.13e-02    
21.54       9.21e-02    1.05e-02    
21.90       8.18e-02    1.08e-02    
22.05       7.93e-02    9.11e-03    
22.41       7.68e-02    1.06e-02    
22.56       7.48e-02    8.67e-03    
22.93       7.20e-02    1.04e-02    
23.44       7.00e-02    1.04e-02    
23.80       7.12e-02    8.17e-03    
23.95       6.85e-02    1.05e-02    
24.32       7.53e-02    8.69e-03    
24.47       6.84e-02    1.08e-02    
24.83       7.86e-02    9.01e-03    
24.98       6.75e-02    1.11e-02    
25.34       7.79e-02    9.01e-03    
25.85       7.02e-02    8.40e-03    
26.22       6.33e-02    7.32e-03    
26.37       6.52e-02    7.78e-03    
26.73       6.06e-02    7.05e-03    
26.88       5.52e-02    6.62e-03    
27.24       6.02e-02    7.09e-03    
27.39       5.36e-02    6.47e-03    
27.75       5.12e-02    6.06e-03    
28.26       4.38e-02    5.26e-03    
28.77       3.96e-02    4.84e-03    
29.28       3.85e-02    4.75e-03    
29.79       3.50e-02    4.30e-03    
29.83       3.58e-02    4.34e-03    
30.34       3.40e-02    4.28e-03    
30.85       2.94e-02    3.83e-03    
31.36       2.31e-02    3.17e-03    
31.87       2.21e-02    3.35e-03    
32.37       1.86e-02    2.66e-03    
32.88       1.82e-02    3.41e-03    
33.39       1.61e-02    2.30e-03    
33.43       1.68e-02    2.45e-03    
33.94       1.66e-02    2.24e-03    
34.44       1.33e-02    2.93e-03    
34.95       1.36e-02    2.19e-03    
35.45       1.06e-02    1.53e-03    
35.96       9.31e-03    1.47e-03    
36.47       8.43e-03    1.27e-03    
36.97       6.04e-03    1.18e-03    
37.02       4.82e-03    9.79e-04    
37.52       4.67e-03    1.01e-03    
38.02       5.11e-03    1.22e-03    
38.53       4.58e-03    1.07e-03    
39.03       2.19e-03    8.13e-04    
39.53       2.50e-03    6.71e-04    
40.04       2.47e-03    9.69e-04    
40.54       2.11e-03    8.03e-04    
40.58       1.71e-03    3.07e-04    
41.09       1.77e-03    4.56e-04    
41.59       1.40e-03    3.34e-04    
42.08       1.22e-03    4.10e-04    
42.59       7.31e-04    2.65e-04    
43.09       1.44e-03    3.57e-04    
43.58       7.40e-04    2.21e-04    
44.08       7.28e-04    2.32e-04    
