Projectile: 6Li; target: 48Ca; E = 240.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.044612
Angle       R/s
4.22        3.15e-01    5.8e-02     
4.64        2.61e-01    5.0e-02     
5.07        3.14e-01    3.8e-02     
5.50        3.91e-01    4.8e-02     
5.93        4.11e-01    5.0e-02     
6.36        3.59e-01    4.4e-02     
6.41        3.30e-01    4.1e-02     
6.82        2.34e-01    3.0e-02     
7.26        1.19e-01    1.6e-02     
7.71        5.47e-02    1.1e-02     
8.15        8.40e-02    1.2e-02     
8.58        1.50e-01    2.1e-02     
9.02        2.12e-01    3.4e-02     
9.49        2.11e-01    3.3e-02     
9.95        1.47e-01    2.4e-02     
10.38       8.59e-02    1.2e-02     
10.82       3.84e-02    6.7e-03     
11.31       2.21e-02    3.7e-03     
11.70       4.01e-02    5.1e-03     
11.75       4.68e-02    5.9e-03     
12.19       8.04e-02    1.2e-02     
12.63       1.03e-01    1.7e-02     
13.06       1.04e-01    1.4e-02     
13.53       7.34e-02    9.6e-03     
13.94       5.97e-02    7.9e-03     
14.00       4.16e-02    5.6e-03     
14.43       2.65e-02    5.2e-03     
14.87       2.15e-02    4.2e-03     
15.31       2.76e-02    3.9e-03     
15.36       2.61e-02    3.4e-03     
15.75       4.12e-02    5.4e-03     
15.80       4.31e-02    7.8e-03     
16.24       5.63e-02    7.2e-03     
16.68       5.89e-02    7.8e-03     
17.12       5.14e-02    6.6e-03     
17.58       3.46e-02    4.7e-03     
18.02       2.64e-02    3.4e-03     
18.46       1.98e-02    2.8e-03     
18.92       1.91e-02    2.3e-03     
19.36       2.24e-02    2.7e-03     
19.80       2.65e-02    3.5e-03     
20.24       2.88e-02    3.5e-03     
20.67       2.84e-02    3.5e-03     
20.73       2.62e-02    3.5e-03     
21.17       2.38e-02    3.2e-03     
21.60       1.98e-02    2.5e-03     
22.04       1.68e-02    2.0e-03     
22.53       1.40e-02    2.1e-03     
22.91       1.51e-02    1.9e-03     
22.97       1.59e-02    2.1e-03     
23.41       1.68e-02    2.3e-03     
23.84       1.87e-02    2.6e-03     
24.31       1.80e-02    2.5e-03     
24.75       1.80e-02    2.5e-03     
25.15       1.80e-02    2.4e-03     
25.21       1.71e-02    2.2e-03     
25.65       1.55e-02    2.1e-03     
26.08       1.41e-02    1.6e-03     
26.52       1.39e-02    1.9e-03     
26.95       1.44e-02    1.9e-03     
27.39       1.53e-02    2.0e-03     
27.69       1.31e-02    1.8e-03     
28.13       1.37e-02    1.9e-03     
28.56       1.44e-02    2.0e-03     
29.00       1.54e-02    2.1e-03     
29.43       1.37e-02    1.9e-03     
29.87       1.28e-02    1.9e-03     
30.30       1.22e-02    1.9e-03     
30.74       1.07e-02    1.7e-03     
31.04       8.80e-03    1.4e-03     
31.48       9.76e-03    1.9e-03     
31.91       8.83e-03    1.3e-03     
32.34       8.97e-03    1.5e-03     
32.78       8.91e-03    1.5e-03     
33.21       8.30e-03    1.3e-03     
33.64       7.54e-03    1.2e-03     
34.07       7.71e-03    1.3e-03     
34.38       6.18e-03    1.0e-03     
34.81       5.44e-03    9.4e-04     
35.25       5.01e-03    8.4e-04     
35.68       5.13e-03    8.7e-04     
36.11       4.88e-03    8.5e-04     
36.54       4.11e-03    7.1e-04     
36.97       3.57e-03    6.8e-04     
37.40       3.25e-03    8.2e-04     
