Projectile: 6Li; target: 116Sn; E = 21.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
31.087      1.150e+00   2.087e+00   
36.381      1.154e+00   2.448e+00   
42.016      1.044e+00   1.136e-01   
46.797      1.048e+00   2.974e+00   
52.091      9.478e-01   2.691e+00   
57.213      9.509e-01   1.462e+00   
62.336      1.173e+00   1.511e+00   
67.629      1.177e+00   2.897e+00   
72.581      1.065e+00   1.637e+00   
77.704      9.636e-01   1.482e+00   
82.827      9.668e-01   2.379e+00   
87.779      9.699e-01   2.057e+00   
92.731      1.079e+00   1.390e+00   
97.854      9.762e-01   1.038e+00   
102.806     9.794e-01   1.262e+00   
107.758     9.825e-01   1.511e+00   
112.710     8.888e-01   1.613e+00   
117.662     8.040e-01   1.459e+00   
122.614     8.065e-01   8.794e-02   
127.395     8.090e-01   2.297e+00   
132.176     7.318e-01   1.125e+00   
137.129     6.619e-01   8.531e-01   
141.910     6.640e-01   2.163e+00   
151.472     6.681e-01   5.202e+00   
161.035     6.062e-01   1.100e+00   
163.938     6.073e-01   1.289e+00   
170.597     5.500e-01   9.984e-01   
173.329     6.110e-01   1.504e+00   
