Projectile: 6Li; target: 28Si; E = 11.0 MeV
http://dx.doi.org/10.1016/S0370-2693(03)00079-0
Angle       R/s
29.6        0.986       0.00083     
33.78       0.966       0.0014      
37.36       1.01        0.0015      
42.67       0.96        0.0022      
47.94       0.936       0.0015      
53.16       0.85        0.0043      
59.48       0.745       0.0059      
65.14       0.7         0.055       
70.73       0.61        0.0044      
75.68       0.5         0.038       
81.65       0.45        0.038       
87.5        0.395       0.029       
92.2        0.294       0.0031      
96.8        0.268       0.0056      
103.4       0.254       0.017       
107.8       0.225       0.02        
112.22      0.187       0.0066      
116.98      0.168       0.0066      
121.6       0.1675      0.0076      
126.7       0.143       0.0093      
130.7       0.16        0.0067      
134.7       0.161       0.005       
136.4       0.156       0.0064      
143.2       0.144       0.0051      
147.        0.134       0.0051      
