Projectile: 6Li; target: 27Al; E = 12.0 MeV
http://dx.doi.org/10.1103/PhysRevC.75.017602
Angle       R/s
14.7        1.047       0.008       
17.1        1.005       0.005       
19.5        1.024       0.003       
21.8        1.039       0.004       
24.2        1.055       0.004       
26.7        1.064       0.004       
29.1        1.023       0.005       
31.5        0.992       0.005       
34.0        0.956       0.006       
36.4        0.893       0.005       
38.7        0.858       0.005       
41.1        0.791       0.006       
43.5        0.751       0.005       
45.9        0.682       0.008       
48.3        0.636       0.007       
50.6        0.590       0.007       
52.9        0.530       0.007       
55.3        0.498       0.007       
57.7        0.466       0.010       
59.9        0.436       0.009       
62.2        0.399       0.009       
64.5        0.352       0.009       
66.8        0.327       0.008       
69.0        0.308       0.013       
71.2        0.301       0.011       
73.4        0.276       0.010       
75.6        0.263       0.011       
76.6        0.238       0.005       
77.8        0.225       0.009       
80.0        0.214       0.008       
82.1        0.195       0.006       
84.3        0.181       0.007       
86.4        0.173       0.007       
87.3        0.166       0.004       
88.5        0.155       0.006       
90.6        0.148       0.008       
92.7        0.141       0.004       
94.7        0.135       0.006       
96.8        0.130       0.007       
97.8        0.118       0.004       
98.8        0.115       0.006       
100.8       0.109       0.005       
103.0       0.108       0.004       
104.8       0.095       0.009       
106.8       0.100       0.008       
107.8       0.098       0.004       
108.8       0.082       0.008       
110.8       0.085       0.005       
112.9       0.071       0.004       
114.6       0.065       0.006       
116.5       0.064       0.005       
117.5       0.059       0.004       
118.5       0.069       0.006       
120.3       0.065       0.004       
122.2       0.067       0.005       
124.0       0.077       0.007       
125.9       0.070       0.005       
127.7       0.067       0.005       
129.5       0.057       0.004       
131.3       0.063       0.006       
133.1       0.058       0.008       
134.8       0.052       0.006       
136.5       0.049       0.011       
138.3       0.045       0.005       
139.9       0.042       0.005       
141.7       0.049       0.009       
143.4       0.035       0.006       
145.0       0.037       0.006       
146.7       0.040       0.005       
148.2       0.043       0.004       
150.0       0.038       0.006       
151.7       0.034       0.005       
153.2       0.032       0.004       
154.9       0.031       0.003       
156.5       0.034       0.004       
158.1       0.029       0.006       
