Projectile: 6Li; target: 112Sn; E = 30.0 MeV
http://dx.doi.org/10.1103/PhysRevC.94.061602
Angle       R/s
26.25       1.000       
31.53       1.000       
36.76       1.030       
41.97       1.010       
44.05       1.007       
47.17       0.910       
49.25       0.823       
52.35       0.750       
54.42       0.684       
62.66       0.420       
67.78       0.310       
72.89       0.220       
77.97       0.160       
83.03       0.110       
85.04       0.104       
88.06       0.090       
93.07       0.060       
98.06       0.040       
103.03      0.030       
107.97      0.025       
