Projectile: 6Li; target: 138Ba; E = 23.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
26.6        1.09        
30.4        1.08        
35.9        1.08        
41.         1.08        
45.7        1.04        
50.         1.01        
55.1        1.04        
60.2        1.07        
65.3        1.06        
70.4        1.06        
75.1        0.99        
80.6        0.99        
84.9        0.93        
90.4        0.86        
95.9        0.81        
100.2       0.73        
105.3       0.73        
110.8       0.599       
115.5       0.578       
121.5       0.49        
125.7       0.444       
131.7       0.428       
135.5       0.414       
141.        0.386       
146.1       0.317       
150.8       0.287       
155.5       0.277       
160.6       0.243       
165.7       0.242       
