Projectile: 6Li; target: 144Sm; E = 26.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
33.78       1.011       0.007       
36.36       1.017       0.009       
37.77       1.000       0.006       
39.20       1.004       0.008       
42.80       0.999       0.008       
44.56       1.016       0.007       
47.12       1.004       0.009       
48.00       0.981       0.011       
49.64       1.012       0.007       
52.20       1.000       0.009       
52.96       1.006       0.008       
54.65       0.997       0.007       
57.20       1.004       0.009       
57.98       1.006       0.008       
59.82       0.979       0.011       
62.36       0.993       0.010       
64.74       1.014       0.007       
67.28       1.040       0.009       
69.73       1.018       0.007       
72.25       1.012       0.008       
74.77       0.974       0.016       
77.56       0.982       0.013       
80.06       0.999       0.015       
82.79       0.967       0.012       
85.29       0.946       0.013       
87.76       0.928       0.010       
90.25       0.877       0.011       
92.64       0.842       0.010       
95.12       0.815       0.010       
97.68       0.762       0.012       
100.15      0.711       0.011       
102.48      0.711       0.010       
104.94      0.679       0.009       
107.34      0.626       0.012       
109.78      0.610       0.010       
112.24      0.543       0.019       
114.94      0.528       0.019       
117.40      0.506       0.016       
120.04      0.458       0.015       
122.49      0.439       0.012       
124.88      0.418       0.012       
127.32      0.415       0.010       
129.63      0.383       0.010       
132.07      0.351       0.009       
134.55      0.332       0.010       
136.97      0.309       0.008       
139.28      0.299       0.007       
141.71      0.286       0.006       
144.17      0.284       0.006       
146.59      0.266       0.005       
149.13      0.262       0.010       
151.56      0.233       0.011       
153.83      0.227       0.008       
156.25      0.216       0.010       
158.69      0.233       0.008       
161.11      0.221       0.010       
163.32      0.210       0.006       
165.74      0.197       0.007       
168.03      0.197       0.006       
170.44      0.185       0.006       
